category_id,name
41796,Subbituminous coal
41797,Lignite coal
41798,Petroleum liquids
41799,Petroleum coke
41800,Natural gas
41801,Coal
41802,Bituminous coal
41803,Subbituminous coal
41805,Petroleum liquids
41806,Petroleum coke
41807,Natural gas
41808,Coal
41809,Bituminous coal
41810,Subbituminous coal
41812,Petroleum liquids
41813,Petroleum coke
41814,Natural gas
41819,Petroleum liquids
41821,Natural gas
41822,Coal
41823,Bituminous coal
41824,Subbituminous coal
41826,Petroleum liquids
41827,Petroleum coke
41828,Natural gas
41829,Coal
41830,Bituminous coal
41831,Subbituminous coal
41832,Lignite coal
41833,Petroleum liquids
41834,Petroleum coke
41835,Natural gas
41836,Coal
41837,Bituminous coal
41838,Subbituminous coal
41839,Lignite coal
41840,Petroleum liquids
41842,Natural gas
41843,Coal
41844,Bituminous coal
41845,Subbituminous coal
41846,Lignite coal
41847,Petroleum liquids
41848,Petroleum coke
41849,Natural gas
41927,Coal
41928,Bituminous coal
41929,Subbituminous coal
41930,Lignite coal
41931,Petroleum liquids
41932,Petroleum coke
41934,Coal
41935,Bituminous coal
41936,Subbituminous coal
41937,Lignite coal
41938,Petroleum liquids
41939,Petroleum coke
41941,Coal
41942,Bituminous coal
41943,Subbituminous coal
41944,Lignite coal
41945,Petroleum liquids
41946,Petroleum coke
41948,Coal
41949,Bituminous coal
41950,Subbituminous coal
41951,Lignite coal
41952,Petroleum liquids
41953,Petroleum coke
41955,Coal
41956,Bituminous coal
41957,Subbituminous coal
41959,Petroleum liquids
41960,Petroleum coke
41962,Coal
41963,Bituminous coal
41964,Subbituminous coal
41966,Petroleum liquids
41967,Petroleum coke
41973,Petroleum liquids
41976,Coal
41977,Bituminous coal
41978,Subbituminous coal
41980,Petroleum liquids
41981,Petroleum coke
41983,Coal
41984,Bituminous coal
41985,Subbituminous coal
41986,Lignite coal
41987,Petroleum liquids
41988,Petroleum coke
41990,Coal
41991,Bituminous coal
41992,Subbituminous coal
41993,Lignite coal
41994,Petroleum liquids
41995,Petroleum coke
41997,Coal
41998,Bituminous coal
41999,Subbituminous coal
42000,Lignite coal
42001,Petroleum liquids
42002,Petroleum coke
42081,Coal
42082,Bituminous coal
42083,Subbituminous coal
42084,Lignite coal
42086,Petroleum coke
42088,Coal
42089,Bituminous coal
42090,Subbituminous coal
42091,Lignite coal
42093,Petroleum coke
42095,Coal
42096,Bituminous coal
42097,Subbituminous coal
42098,Lignite coal
42100,Petroleum coke
42102,Coal
42103,Bituminous coal
42104,Subbituminous coal
42105,Lignite coal
42107,Petroleum coke
42109,Coal
